season,regime,optimal_lambda,total_benefit,celebrity_raw,dancer_raw,ccvi_raw,satisfaction_raw,discrepancy_raw,celebrity_norm,dancer_norm,ccvi_norm,satisfaction_norm,discrepancy_benefit
1,rank,0.34,0.38657468736786604,263.62697076418567,157.2183743978867,18.0,0.9276336570439175,0.7152493439946925,0.01997765684253645,0.0,0.0,1.0,0.9128957799967937
2,rank,0.3,0.7394962947286626,997.795293539145,272.24320139390255,86.8,0.8528249356043897,1.8961565850880684,0.933717003084423,0.12574571303218296,0.650898770104068,0.964304843322801,0.7602386155638957
3,percent,0.52,0.5829921246019967,403.4155418830418,376.5910681932804,89.89999999999999,0.7156264473321344,1.5975730034308628,0.19395726563775756,0.24537221586119254,0.6802270577105013,0.7791398227132358,0.7988368401626418
4,percent,0.72,0.5994919424516838,497.3332387207448,484.7223773043441,94.5,0.6605782590758164,2.273341085340986,0.3108463934397634,0.36933613340010185,0.7237464522232734,0.7048460091197983,0.7114795646638961
5,percent,0.34,0.8074343627028719,644.4363486649089,632.7262630639653,123.5,0.7817095248764386,0.751198800115954,0.49392961201623414,0.5390107784272803,0.9981078524124881,0.8683264789914963,0.9082485546742566
6,percent,0.02,0.652974555060743,569.6260848834679,560.6183267288959,75.0,0.8591762345488786,1.1700034726268103,0.40082142497070006,0.45634478328464984,0.5392620624408704,0.9728766462250317,0.8541092188043526
7,percent,0.02,0.6630966066426118,825.6032771955988,818.3970706719412,72.10000000000001,0.5905865309058155,1.2635385334750433,0.7194083553793212,0.7518675437149099,0.511825922421949,0.610384182664542,0.8420178396788175
8,percent,0.02,0.7310379045447871,901.1642463179214,895.7595914251783,79.0,0.6685184903328941,1.2772903298641032,0.8134508635963339,0.8405575006024774,0.5771050141911069,0.715562257548454,0.8402401299912482
9,percent,0.5,0.7453550965194328,1051.052140663166,1034.8381759849367,63.800000000000004,0.5710789977922993,0.09739683558693302,1.0,1.0,0.43330179754020814,0.5840565400170649,0.9927662462697868
10,percent,0.02,0.6958412186187745,497.99613564362943,489.88915330451465,99.2,0.8792733518259361,1.3751703878099184,0.31167142903739425,0.3752594298004931,0.7682119205298014,1.0,0.8275870683615292
11,percent,0.5,0.8293166794552795,717.851796713019,712.4471418202758,118.0,0.8450913782447986,1.0230878937219412,0.5853018238408756,0.6304044045797773,0.9460737937559129,0.9538675249098436,0.87310115560192
12,percent,0.5,0.7292989942492536,512.6995256892939,507.7452587042793,109.7,0.8656058903985899,1.311791585119694,0.3299711371439548,0.39573002981023647,0.8675496688741722,0.9815542007150033,0.8357801151709329
13,percent,0.02,0.7125490496791071,708.1596006771991,703.2053336921846,96.6,0.5563518240111589,8.044423079056617e-07,0.5732390031025135,0.6198094090126341,0.7436140018921474,0.5641805379484841,1.0
14,percent,0.02,0.6756710953130466,643.4093917256242,641.1574521869812,84.39999999999999,0.7042428152039988,0.7740081617955948,0.49265147056936026,0.5486764639885916,0.6281929990539261,0.7637763117579609,0.9052999636627268
15,percent,0.02,0.5695614429323709,567.5739735495087,558.1158274872082,66.4,0.6017296729983781,0.7335564828856926,0.39826738550789653,0.4534758675914242,0.4578997161778619,0.6254231248657872,0.9105291962256656
16,percent,0.1,0.6377458634277398,713.0953566608079,706.7899259526076,58.7,0.8803035190049984,2.208900756830025,0.579382000976115,0.6239188580060361,0.38505203405865657,1.0,0.7198098360715806
17,percent,0.52,0.5584109650517249,585.0467717551472,578.741341046947,48.7,0.8450913782447986,2.022192950046531,0.42001387430911724,0.47712137307116426,0.2904446546830653,0.9538675249098436,0.7439457574794838
18,percent,0.02,0.5657714591274657,556.7076944536909,544.0968330372903,68.2,0.7183276715080786,2.12827140728504,0.3847433114650863,0.4374042091027336,0.4749290444654683,0.7827854330731491,0.7302328798495237
19,percent,0.3,0.7048210742438845,800.0311156379777,788.3210300370342,80.6,0.7734924681537618,2.112821523306136,0.6875814711910546,0.7173877630499683,0.5922421948912014,0.8572366229984394,0.732230103168142
20,percent,0.02,0.6754825430632628,702.6111155236872,693.6033573691153,65.4,0.9155156597651983,1.325406615982065,0.5663334079691795,0.6088015093496333,0.44843897824030277,1.0,0.8340200853118632
21,percent,0.02,0.6570281880735536,780.9098417261049,767.398204494247,62.1,0.7790174143548602,1.7112944385124513,0.6637833042291408,0.6934014131057256,0.4172185430463576,0.8646931685484386,0.7841359464677893
22,percent,0.16,0.5582122564096916,490.5940206240779,483.38781410042037,51.300000000000004,0.8591762345488786,1.1301673978790792,0.30245882270590935,0.36780616317851006,0.315042573320719,0.9728766462250317,0.8592588715471838
23,percent,0.12,0.6703752867896677,822.0242857483402,808.9630364242108,46.9,0.889516338376826,1.1532621972953503,0.7149539745462411,0.7410521762403176,0.2734153263954588,1.0,0.8562733816887507
24,percent,0.04,0.5983961103102267,593.9230622506133,578.6098733878412,52.3,0.8098792374845986,0.58808611665853,0.4310612262892793,0.4769706558904845,0.3245033112582781,0.9063447216218727,0.9293343088073217
25,percent,0.24,0.5893802855931303,688.7626505282143,675.7014012040851,38.3,0.8413072279884729,1.071640780564893,0.5490977319547353,0.5882783450961828,0.19205298013245028,0.948760382192558,0.8668246710715908
26,percent,0.02,0.3580023108129389,261.1629553209085,257.55985205907973,19.2,0.6581842704746153,0.04143881886345449,0.01691096519918138,0.1089124246802644,0.011352885525070957,0.7016150482377743,1.0
27,percent,0.44,0.50702848515828,566.7665221665525,558.2091519197091,44.3,0.5708492783067323,0.3963833061535181,0.39726243871858835,0.453582856606447,0.2488174077578051,0.5837465073496857,0.9541159397831946
28,bottom2,0.28,0.3912285175834519,585.623662962849,577.0662927160057,40.4,0.6197336773795189,5.222738044184536,0.4207318679607443,0.47520106382051774,0.21192052980132448,0.6497215838668314,0.3302078094774381
29,bottom2,0.02,0.4589167624091958,902.6541825137604,896.34875180556,32.5,0.727392967453308,7.329449014179223,0.815305224896454,0.8412329259664282,0.13718070009460737,0.7950200847203249,0.05787098930407497
30,bottom2,0.02,0.3938914039870413,903.7242975188537,893.8157635488247,38.8,0.3098386676965933,6.175853846261519,0.8166370804870927,0.8383290570503269,0.19678334910122985,0.23148289496180027,0.2069974923093053
31,bottom2,0.62,0.4267844572199398,964.3389259331983,954.4303919631693,23.099999999999998,0.6570478791803873,7.657377398304089,0.8920775063701845,0.9078188917723836,0.04824976348155153,0.7000813584714652,0.01547933014953018
32,bottom2,0.46,0.4166393264035817,878.6495004702789,870.9929060388928,42.5,0.524476820556118,7.600426129386162,0.7854292117306306,0.8121644720691394,0.23178807947019867,0.5211615823753697,0.022841482672040336
33,bottom2,0.2,0.5686726053294959,881.6760152396004,880.3248515164146,60.0,0.6669328201999446,5.198918905976275,0.7891959850180678,0.8228628029148791,0.3973509933774834,0.7134222147058178,0.33328693539992926
34,bottom2,0.4,0.7039812525017354,840.808884381564,822.3429801646917,123.7,0.6822643386047805,6.467750546269506,0.7383331184592636,0.7563912140838028,1.0,0.7341138488277184,0.16926368817979354
